STAID,Name,Date,Date_n,Year,Month,LAI_GLASS,Emiss,Albedo
10500000,CAMELS-BR_10500000,1979/1/1,1979001,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/2,1979002,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/3,1979003,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/4,1979004,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/5,1979005,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/6,1979006,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/7,1979007,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/8,1979008,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/9,1979009,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/10,1979010,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/11,1979011,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/12,1979012,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/13,1979013,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/14,1979014,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/15,1979015,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/16,1979016,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/17,1979017,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/18,1979018,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/19,1979019,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/20,1979020,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/21,1979021,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/22,1979022,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/23,1979023,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/24,1979024,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/25,1979025,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/26,1979026,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/27,1979027,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/28,1979028,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/29,1979029,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/30,1979030,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/1/31,1979031,1979,1,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/1,1979032,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/2,1979033,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/3,1979034,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/4,1979035,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/5,1979036,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/6,1979037,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/7,1979038,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/8,1979039,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/9,1979040,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/10,1979041,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/11,1979042,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/12,1979043,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/13,1979044,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/14,1979045,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/15,1979046,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/16,1979047,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/17,1979048,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/18,1979049,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/19,1979050,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/20,1979051,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/21,1979052,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/22,1979053,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/23,1979054,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/24,1979055,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/25,1979056,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/26,1979057,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/27,1979058,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/2/28,1979059,1979,2,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/1,1979060,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/2,1979061,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/3,1979062,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/4,1979063,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/5,1979064,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/6,1979065,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/7,1979066,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/8,1979067,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/9,1979068,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/10,1979069,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/11,1979070,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/12,1979071,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/13,1979072,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/14,1979073,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/15,1979074,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/16,1979075,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/17,1979076,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/18,1979077,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/19,1979078,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/20,1979079,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/21,1979080,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/22,1979081,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/23,1979082,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/24,1979083,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/25,1979084,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/26,1979085,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/27,1979086,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/28,1979087,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/29,1979088,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/30,1979089,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/3/31,1979090,1979,3,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/4/1,1979091,1979,4,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/4/2,1979092,1979,4,5.097900737,0.991865491,0.106437333
10500000,CAMELS-BR_10500000,1979/4/3,1979093,1979,4,5.097900737,0.991865491,0.106437333
