Name,Date,Date_n,Year,Month,Flow,Flow_mmd,qc,P,P_MSWEP,Pres,LWd,SWd,RelHum,SpecHum,Temp,Tmax,Tmin,Wind,CO2,PET_FAO,PET_FAO_CO2,PET_Penman,PET_PT,PET_HargreavesSamani,Half_Mon,LAI,ocean,urban,cropland,pasture,forest,shrubland,sparse,water,Eckhardt,Chapman_maxwell,Lynehollick,Chapman,UKIH
CAMELS-BR_10500000,1979/1/1,1979001,1979,1,,,,9.099489212,,99160.47656,421.9312439,220.6769104,89.13286591,0.018972708,25.90213966,29.54615974,23.56768227,0.927761137,336.14,3.850607087,3.8498045,5.131135599,4.877592944,4.744852203,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/2,1979002,1979,1,,,,8.68546772,9.06698513,99282.14063,422.3087158,204.8084412,89.71456146,0.018867422,25.71967316,29.78318596,23.38452721,0.60533005,336.14,3.618712096,3.618607682,4.77393476,4.570446996,4.712453816,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/3,1979003,1979,1,,,,9.151919365,7.446223259,99267.75,420.5589905,233.8737183,88.45746613,0.018650234,25.81719398,29.66960716,23.3494091,0.84096235,336.14,4.053829847,4.052441589,5.395749572,5.130387668,4.713444251,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/4,1979004,1979,1,,,,3.201915264,3.19592762,99311.96875,414.663147,250.2701111,84.22808075,0.017878665,26.06266594,30.35111046,23.38163948,1.106346726,336.14,4.372671155,4.368841993,5.893882791,5.446448878,4.691965654,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/5,1979005,1979,1,,,,5.380190372,5.314826965,99390.29688,411.3690796,122.3390427,87.49564362,0.017646885,25.05633163,28.11994553,23.06305695,0.922093272,336.14,2.34978479,2.347714893,3.166650272,2.851796868,4.705556657,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/6,1979006,1979,1,,,,0.307181776,0.269744664,99216.82813,408.6404419,294.715271,81.45454407,0.017257931,26.17579842,32.78956604,21.71289635,0.85769105,336.14,5.123218042,5.121642233,6.885622839,6.378028804,4.693779454,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/7,1979007,1979,1,,,,0.387788892,0.333261073,99149.83594,410.0588684,284.7590637,77.57926178,0.017637748,27.41507721,33.30379105,23.29356766,1.207519174,336.14,5.153065637,5.149149998,6.97147569,6.246431397,4.707432476,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/8,1979008,1979,1,,,,0.098948538,0.09043245,99251.05469,406.4189758,303.7568054,77.57221222,0.017531127,27.44478798,33.88721848,22.48613739,0.798178434,336.14,5.385565904,5.383790283,7.263807019,6.631352709,4.847062981,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/9,1979009,1979,1,,,,0.27130124,0.316555917,99202.98438,411.3579102,298.0775452,78.92295074,0.017993368,27.43086624,33.8366127,23.22550964,0.896028697,336.14,5.34861341,5.346672069,7.191703441,6.591524451,4.777665198,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/10,1979010,1979,1,,,,0.510653913,0.389637649,99176.90625,412.0628357,284.0598755,79.32809448,0.018615613,27.80761147,33.48011017,23.4129734,0.839916348,336.14,5.107199631,5.106001895,6.86715592,6.29347762,4.73167698,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/11,1979011,1979,1,,,,1.260298967,1.427451611,99074.21094,410.9866638,283.8082275,79.52298737,0.018091664,27.28573608,33.12874222,23.46756744,1.166270375,336.14,5.117337911,5.114709096,6.901760583,6.266292902,4.705602626,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/12,1979012,1979,1,,,,1.743827581,1.414755225,99077.39063,416.5198059,274.2394409,81.05284119,0.018386059,27.16983795,32.79476547,23.4296875,1.065510631,336.14,4.925074481,4.923357443,6.626823191,6.071024623,4.687211439,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/13,1979013,1979,1,,,,2.103938341,1.850344062,99021.61719,417.739563,280.0854797,81.05552673,0.018648569,27.44486046,32.85203934,23.57353401,1.022279382,336.14,5.023267685,5.022441466,6.751005296,6.205526368,4.700489853,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/14,1979014,1979,1,,,,2.51519537,5.890871048,99115.11719,421.489563,257.0075073,84.3292923,0.01906543,27.01687622,31.27060509,24.38072586,0.888780355,336.14,4.578695756,4.578176169,6.119518777,5.717039682,4.822636422,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/15,1979015,1979,1,,,,4.393917561,1.654699206,99157.95313,417.7717896,280.787384,82.14068604,0.018125739,26.78744888,32.55987549,23.1863575,0.994149566,336.14,4.985602289,4.983714136,6.69330983,6.192867866,4.669882617,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/16,1979016,1979,1,,,,0.678659022,2.812173128,99155.14844,416.4333496,272.3504944,79.95452881,0.018220665,27.31466103,32.17819595,23.75127029,1.416371822,336.14,4.915674829,4.910584171,6.653347676,5.985463851,4.71308406,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/17,1979017,1979,1,,,,0.394587189,0.499095857,99105.15625,411.2692871,299.8453674,74.60480499,0.017547429,27.9832592,33.8541069,23.71487808,1.249559641,336.14,5.481825126,5.477542714,7.42655183,6.571098551,4.786974689,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/18,1979018,1979,1,,,,0.114972219,1.451607704,99004.48438,408.7855835,295.7677307,73.4838028,0.016980374,27.77774239,33.75294113,23.16069221,0.991967082,336.14,5.33427472,5.332969675,7.252635664,6.419511363,4.789918799,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/19,1979019,1979,1,,,,0.15765737,0.116166294,99021.97656,417.2379761,260.8847961,74.04177094,0.017330073,27.94961548,34.43737411,23.2659874,1.027983069,336.14,4.871222223,4.869316652,6.618516448,5.792655601,4.906010735,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/20,1979020,1979,1,,,,1.952929854,0.983683944,99131.69531,424.540863,245.4308014,77.74653625,0.017429441,26.99592018,31.69526863,23.6633873,0.940106511,336.14,4.437618993,4.435964623,6.023218339,5.371492945,4.720115038,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/21,1979021,1979,1,,,,19.41420174,20.84910774,99239.57813,422.7519226,164.1094818,88.35882568,0.018750217,25.83461571,28.86600113,22.80390358,0.68565762,336.14,2.960385322,2.960096479,3.950417997,3.692163819,4.704715586,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/22,1979022,1979,1,,,,5.58779335,5.395886421,99244.71875,426.3578491,238.0339966,87.99676514,0.018979719,26.33261681,31.86720657,23.53933334,0.517002881,336.14,4.269372236,4.270140022,5.612886467,5.381107045,4.707117633,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/23,1979023,1979,1,,,,2.595095396,2.673607349,99126.15625,422.1334229,255.7410431,84.94089508,0.018751761,26.7379303,31.74754333,23.82009125,0.699115992,336.14,4.558440639,4.5591309,6.061630798,5.709738685,4.74652558,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/24,1979024,1979,1,,,,4.215445995,5.344746113,99006.17188,422.3595276,269.5807495,83.3670578,0.019382898,27.54998779,32.84833908,24.0893631,1.158511877,336.14,4.889012387,4.887614668,6.551373574,6.073371146,4.768135905,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/25,1979025,1979,1,,,,12.73138428,14.37835598,99173.3125,423.6173096,198.8055878,89.33029175,0.019142454,26.00314331,29.33981133,23.35676384,0.800471306,336.14,3.51389014,3.513654201,4.668342151,4.433594789,4.776735839,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/26,1979026,1979,1,,,,5.191013813,4.484792709,99269.16406,426.0058594,185.7690735,89.79720306,0.01936364,26.16102028,30.76078033,23.73656464,0.701172173,336.14,3.38698062,3.386468786,4.472277521,4.263153542,4.778692639,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/27,1979027,1979,1,,,,3.305757284,3.612668037,99124.53906,419.0698547,250.0230865,86.45375824,0.018835885,26.42012024,31.19923782,23.53767395,0.920522034,336.14,4.421478713,4.420842831,5.896028348,5.561679671,4.734833905,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/28,1979028,1979,1,,,,14.43466663,9.30160141,99049.89844,422.4528503,251.6613312,86.67790985,0.019113997,26.60010338,31.83944893,23.66957855,0.969499648,336.14,4.492777609,4.492588438,5.984808518,5.654429785,4.737448913,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/29,1979029,1979,1,,,,6.430679321,8.150075912,99244.14844,423.201416,201.1842194,87.43254089,0.018725406,26.12278366,29.8153286,23.73692703,0.951441228,336.14,3.60496931,3.603202233,4.820687078,4.507612072,4.824417287,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/30,1979030,1979,1,,,,4.910015583,4.485010147,99281.35156,424.9551392,212.8372192,86.49684906,0.018562986,26.17253113,31.00494003,23.26607704,0.766335845,336.14,3.824695974,3.823537239,5.097961086,4.778528339,4.710639607,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/1/31,1979031,1979,1,,,,4.291675091,3.07302618,99245.95313,,,87.13069916,0.018692279,26.1008625,30.18001556,23.56805229,0.8387146,336.14,,,,,4.790074858,2,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/2/1,1979032,1979,2,,,,2.416152,2.056379557,99178.07031,422.6450806,228.2330017,86.21783447,0.01866713,26.35161781,31.08266449,23.38772583,0.989996195,336.69,4.078975356,4.077286552,5.456752135,5.10041843,4.729017899,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/2/2,1979033,1979,2,,,,6.765761375,7.094688416,99161.80469,423.2692871,218.3058167,87.42217255,0.019042416,26.32035255,29.58584785,23.9615078,1.123304963,336.69,3.863656483,3.861497249,5.183383946,4.852009168,4.869019903,1,,,,,,99.99800745,0.00199255,,,,,,,
CAMELS-BR_10500000,1979/2/3,1979034,1979,2,,,,13.16253853,12.48557854,99238.94531,424.7141418,211.3466187,88.15697479,0.019314673,26.43688011,30.71419144,23.77987862,0.783245742,336.69,3.79966071,3.798806248,5.04180113,4.776733074,4.80475216,1,,,,,,99.99800745,0.00199255,,,,,,,
